School Name,Detected Level,Latitude,Longitude,school_rating,school_rating_norm10,Municipality,Enrolment,Board Name
École secondaire Georges-P-Vanier,K-12,43.26601,-79.8945,6.788385142255006,3.6949175289944924,"Hamilton, Township of",85,CS Viamonde
École élémentaire Georges-P-Vanier,Elementary,43.26602,-79.8945,8.022998371491521,6.615926746431045,"Hamilton, Township of",SP,CS Viamonde
École élémentaire Pavillon de la jeunesse,Elementary,43.22656,-79.8241,7.173333333333334,4.605678233438486,"Hamilton, City of",295,CS Viamonde
École élémentaire Renaissance,Elementary,43.32084,-79.8075,8.5,7.744479495268139,"Burlington, City of",220,CS Viamonde
ÉIC Mère-Teresa,Elementary,43.21348,-79.8271,7.43118018967334,5.21572600080443,"Hamilton, City of",135,CS catholique MonAvenir
ÉSAC Mère-Teresa,K-12,43.2136,-79.828,7.198385142255006,4.6649490747358175,"Hamilton, City of",300,CS catholique MonAvenir
ÉÉC Monseigneur-de-Laval,Elementary,43.2342,-79.8917,7.640000000000001,5.7097791798107265,"Hamilton, Township of",435,CS catholique MonAvenir
ÉÉC Notre-Dame,Elementary,43.2419,-79.8361,6.100000000000001,2.066246056782336,"Hamilton, Township of",215,CS catholique MonAvenir
ÉÉC Saint-Philippe,Elementary,43.3233,-79.8241,8.393333333333334,7.492113564668772,"Burlington, City of",135,CS catholique MonAvenir
Ascension Catholic Elementary School,Elementary,43.37323,-79.7481,9.14,9.258675078864355,"Burlington, City of",325,Halton CDSB
Assumption Catholic Secondary School,K-12,43.34836,-79.7837,8.343385142255004,7.373939611013416,"Burlington, City of",1070,Halton CDSB
Canadian Martyrs Catholic Elementary School,Elementary,43.36892,-79.8096,9.28,9.589905362776024,"Burlington, City of",425,Halton CDSB
Holy Rosary (Burlington) Catholic Elementary School,Elementary,43.31343,-79.845,8.853333333333333,8.58044164037855,"Burlington, City of",370,Halton CDSB
Notre Dame Catholic Secondary School,K-12,43.37807,-79.8307,8.578385142255005,7.929933301865154,"Burlington, City of",1030,Halton CDSB
St. Gabriel Catholic Elementary School,Elementary,43.35557,-79.8261,8.64,8.075709779179812,"Burlington, City of",545,Halton CDSB
St. John (Burlington) Catholic Elementary School,Elementary,43.33121,-79.8047,8.466666666666667,7.665615141955836,"Burlington, City of",325,Halton CDSB
